name,url,stars,forks,commits,size
How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,27582,5466,347,437
Sortable,https://github.com/SortableJS/Sortable,27514,3651,1083,2415
uppy,https://github.com/transloadit/uppy,27403,1924,9407,389607
jsPDF,https://github.com/parallax/jsPDF,27367,4644,2267,108123
OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,27182,9174,1967,3151
lighthouse,https://github.com/GoogleChrome/lighthouse,27120,9496,5890,213340
AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,27090,2405,772,5445
underscore,https://github.com/jashkenas/underscore,27073,5623,2833,6802
AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,26920,2328,67,628
yapi,https://github.com/YMFE/yapi,26553,4693,5802,232820
sharp,https://github.com/lovell/sharp,26385,1273,1903,48571
nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,26274,1955,301,8041
RSSHub,https://github.com/DIYgod/RSSHub,26241,5982,9813,120286
codemirror5,https://github.com/codemirror/codemirror5,26193,5045,7156,19282
remote-jobs,https://github.com/remoteintech/remote-jobs,26098,2803,2427,3801
mongoose,https://github.com/Automattic/mongoose,26072,3792,20023,113859
ace,https://github.com/ajaxorg/ace,25950,5329,8561,42196
the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,25934,2808,13,41
fabric.js,https://github.com/fabricjs/fabric.js,25915,3373,4826,222767
gitbook,https://github.com/GitbookIO/gitbook,25845,3814,2379,8675
